unique_number,iso_code,name_en,longitude,latitude,states_name_en,region_en,coordinates
2317,fr,Mont-Saint-Michel and its Bay,-1.51056,48.63556,France,Europe and North America,Point(-1.51056 48.63556)
1719,fr,Chartres Cathedral,1.487222222,48.4475,France,Europe and North America,Point(1.487222222 48.4475)
1571,fr,Palace and Park of Versailles,2.119444444,48.805,France,Europe and North America,Point(2.119444444 48.805)
1572,fr,"Vézelay, Church and Hill",3.748333333,47.46638889,France,Europe and North America,Point(3.748333333 47.46638889)
2569,fr,Prehistoric Sites and Decorated Caves of the Vézère Valley,1.17,45.0575,France,Europe and North America,Point(1.17 45.0575)
178,fr,Palace and Park of Fontainebleau,2.698055556,48.40194444,France,Europe and North America,Point(2.698055556 48.40194444)
1951,fr,Amiens Cathedral,2.301666667,49.895,France,Europe and North America,Point(2.301666667 49.895)
1568,fr,"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",4.808416667,44.13572222,France,Europe and North America,Point(4.808416667 44.13572222)
182,fr,"Arles, Roman and Romanesque Monuments",4.630694444,43.67763889,France,Europe and North America,Point(4.630694444 43.67763889)
1565,fr,Cistercian Abbey of Fontenay,4.38911,47.63944,France,Europe and North America,Point(4.38911 47.63944)
1637,fr,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",5.8763888889,46.9375,France,Europe and North America,Point(5.8763888889 46.9375)
254,fr,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",4.806111111,43.95277778,France,Europe and North America,Point(4.806111111 43.95277778)
2186,fr,"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",6.183333333,48.69361111,France,Europe and North America,Point(6.183333333 48.69361111)
2619,fr,Abbey Church of Saint-Savin sur Gartempe,0.86611,46.56472,France,Europe and North America,Point(0.86611 46.56472)
288,fr,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",8.628833333,42.32519444,France,Europe and North America,Point(8.628833333 42.32519444)
1566,fr,Pont du Gard (Roman Aqueduct),4.535277778,43.94722222,France,Europe and North America,Point(4.535277778 43.94722222)
393,fr,Historic Fortified City of Carcassonne,2.3636562,43.2070631,France,Europe and North America,Point(2.3636562 43.2070631)
2156,fr,"Strasbourg, Grande-Île and <em>Neustadt</em>",7.7488888889,48.5844444444,France,Europe and North America,Point(7.7488888889 48.5844444444)
2620,fr,"Paris, Banks of the Seine",2.3211388889,48.8655,France,Europe and North America,Point(2.3211388889 48.8655)
711,fr,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",4.032777778,49.25333333,France,Europe and North America,Point(4.032777778 49.25333333)
1952,fr,Bourges Cathedral,2.398333333,47.08222222,France,Europe and North America,Point(2.398333333 47.08222222)
910,fr,Canal du Midi,1.416388889,43.61138889,France,Europe and North America,Point(1.416388889 43.61138889)
1019,fr,Routes of Santiago de Compostela in France,0.722944444,45.18405556,France,Europe and North America,Point(0.722944444 45.18405556)
1023,fr,Historic Site of Lyon,4.83333,45.76722,France,Europe and North America,Point(4.83333 45.76722)
1025,fr,"Provins, Town of Medieval Fairs",3.298888889,48.55972222,France,Europe and North America,Point(3.298888889 48.55972222)
1088,fr,Jurisdiction of Saint-Emilion,-0.1552777778,44.89472222,France,Europe and North America,Point(-0.1552777778 44.89472222)
2250,fr,The Loire Valley between Sully-sur-Loire and Chalonnes,0.70278,47.39889,France,Europe and North America,Point(0.70278 47.39889)
1531,fr,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,164.5663888889,-20.4119444444,France,Europe and North America,Point(164.5663888889 -20.4119444444)
1848,fr,"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape",3.4730555556,44.2202777778,France,Europe and North America,Point(3.4730555556 44.2202777778)
1358,fr,"Le Havre, the City Rebuilt by Auguste Perret",0.1075,49.49278,France,Europe and North America,Point(0.1075 49.49278)
1433,fr,"Bordeaux, Port of the Moon",-0.5722222222,44.8388888889,France,Europe and North America,Point(-0.5722222222 44.8388888889)
1514,fr,Fortifications of Vauban,6.0269444444,47.2361111111,France,Europe and North America,Point(6.0269444444 47.2361111111)
1604,fr,"Pitons, cirques and remparts of Reunion Island",55.48,-21.0994444444,France,Europe and North America,Point(55.48 -21.0994444444)
1663,fr,Episcopal City of Albi,2.1441666667,43.9291666667,France,Europe and North America,Point(2.1441666667 43.9291666667)
1776,fr,Nord-Pas de Calais Mining Basin,3.5461111111,50.4625,France,Europe and North America,Point(3.5461111111 50.4625)
2016,fr,"The Climats, terroirs of Burgundy",4.8644444444,47.0580555556,France,Europe and North America,Point(4.8644444444 47.0580555556)
1974,fr,"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",4.4161111111,44.3875,France,Europe and North America,Point(4.4161111111 44.3875)
2257,fr,Chaîne des Puys - Limagne fault tectonic arena,2.9651111111,45.7793888889,France,Europe and North America,Point(2.9651111111 45.7793888889)
2026,fr,"Champagne Hillsides, Houses and Cellars",3.9461111111,49.0775,France,Europe and North America,Point(3.9461111111 49.0775)
2155,fr,Taputapuātea,-151.3723777778,-16.8414,France,Europe and North America,Point(-151.3723777778 -16.8414)
2473,fr,The Maison Carrée of Nîmes,4.3561944444,43.8382222222,France,Europe and North America,Point(4.3561944444 43.8382222222)
2570,fr,French Austral Lands and Seas,69.3528055556,-49.3803611111,France,Europe and North America,Point(69.3528055556 -49.3803611111)
2349,fr,Cordouan Lighthouse,-1.1733333333,45.5863055556,France,Europe and North America,Point(-1.1733333333 45.5863055556)
2373,fr,"Nice, Winter Resort Town of the Riviera",7.2723055556,43.7016944444,France,Europe and North America,Point(7.2723055556 43.7016944444)
2422,fr,Volcanoes and Forests of Mount Pelée and the Pitons of Northern Martinique,-61.1758611111,14.8233027778,France,Europe and North America,Point(-61.1758611111 14.8233027778)
2525,fr,Te Henua Enata – The Marquesas Islands,-140.6460475,-7.9698944444,France,Europe and North America,Point(-140.6460475 -7.9698944444)
